,SMAPE,MASE,OWA,MAE,RMSE
D900,6.513066665,5.084633533,5.48606127,80.90328125,81.98343534
D901,1.183102816,0.859018801,1.020060527,13.93798131,16.38301979
D902,4.770472449,3.641977149,3.854378041,59.61653599,61.19791449
D903,14.68709813,16.3022487,13.03837887,296.6593548,298.2007327
D904,1.688720898,1.465745919,1.351947591,21.75909598,25.80377198
D905,6.388563625,4.892350687,5.380360884,78.50928641,79.59983885
D906,3.20261506,2.012308506,2.77815249,36.38131487,38.94968618
D907,1.282539137,0.854952487,1.274258549,15.29583147,17.74068175
D908,1.888450306,1.532713401,1.64302363,18.77386893,21.29511079
D909,2.479747417,2.369219261,2.735440646,25.28363491,27.51790442
D910,8.91569933,6.776615258,4.374747413,82.25811227,89.77573975
D911,2.483732797,1.388986271,2.476786235,28.14221575,30.07770786
D912,1.747215597,1.208195067,1.594281171,19.81893415,23.26677455
D913,11.24871703,19.18261424,15.59875451,1728.389202,1744.589539
D914,12.13199754,20.28867416,16.79275991,1829.837263,1844.751536
D915,1.974696163,2.247855032,1.278693894,184.0143415,227.1880862
D916,9.975755022,14.44227399,14.80959374,1136.712012,1151.639084
D917,9.691045372,7.471252965,2.776320759,636.45399,704.0602553
D918,16.93899341,21.42465168,24.75002507,1781.600488,1790.305365
D919,35.13486736,26.49262932,13.75069213,2582.483761,2589.209379
D920,12.03693784,12.99204919,6.166544764,1216.772712,1258.436727
D921,10.98892721,9.869066533,8.199071393,866.8131278,881.8667432
D922,1.617695953,2.309231568,1.788991516,207.2925642,230.0073257
D923,11.87841727,17.28904103,17.55711865,1354.785449,1367.579637
D924,2.908046751,4.743885755,3.629991031,401.6729492,453.2116939
D925,2.01558505,2.678657947,2.774696648,254.1941964,299.8170762
D926,3.072665158,4.489942464,3.833283226,400.4111189,447.1623202
D927,7.072627304,8.049324367,5.229030673,822.795745,858.7367462
D928,10.79172884,7.545113606,8.616840701,733.7871722,735.6837208
D929,8.612253528,11.62797102,9.332151953,1048.395452,1069.046718
D930,8.02554406,15.83781004,10.43862195,1115.393248,1132.79852
D931,1.505870237,2.594506482,2.552501925,200.5481166,266.6062914
D932,3.553693491,4.062835797,2.238733355,391.6317522,473.7782447
D933,12.13715497,22.33647001,20.00248649,1633.130259,1645.246035
D934,4.601690843,7.939347779,5.707449329,628.9910435,654.5812046
D935,2.127528165,4.326604613,2.828795204,305.3900251,361.9895969
D936,1.571869366,2.498909729,2.237135399,235.4707868,283.9033126
D937,1.30290264,1.968203185,1.632367773,169.9822545,224.516425
